"","WC.Z","SD.Z","ID","hour"
"5203",-0.760394710680823,0.074083857650302,"X280_2019",0
"5223",-0.760394710680823,0.074083857650302,"X280_2019",1
"5243",-0.760394710680823,0.074083857650302,"X280_2019",2
"5263",-0.760394710680823,0.074083857650302,"X280_2019",3
"5284",-0.760394710680823,0.074083857650302,"X280_2019",4
"5303",-1.49131064834791,0.128549500263188,"X280_2019",5
"5323",-1.49131064834791,0.128549500263188,"X280_2019",6
"5342",-1.49131064834791,0.128549500263188,"X280_2019",7
"5361",-1.49131064834791,0.128549500263188,"X280_2019",8
"538",-1.49131064834791,0.128549500263188,"X280_2019",9
"540",-1.49131064834791,0.128549500263188,"X280_2019",10
"542",-1.49131064834791,0.128549500263188,"X280_2019",11
"544",-1.49131064834791,0.128549500263188,"X280_2019",12
"546",-1.49131064834791,0.128549500263188,"X280_2019",13
"5481",-1.49131064834791,0.128549500263188,"X280_2019",14
"550",-1.49131064834791,0.128549500263188,"X280_2019",15
"552",-1.49131064834791,0.128549500263188,"X280_2019",16
"554",-1.49131064834791,0.128549500263188,"X280_2019",17
"5561",-1.49131064834791,0.128549500263188,"X280_2019",18
"5581",-1.49131064834791,0.128549500263188,"X280_2019",19
"560",-1.49131064834791,0.128549500263188,"X280_2019",20
"562",-1.49131064834791,0.128549500263188,"X280_2019",21
"5641",-1.49131064834791,0.128549500263188,"X280_2019",22
"5655",-1.49131064834791,0.128549500263188,"X280_2019",23
"5675",-1.49131064834791,0.128549500263188,"X280_2019",0
"5695",-1.49131064834791,0.128549500263188,"X280_2019",1
"5715",-1.49131064834791,0.128549500263188,"X280_2019",2
"5734",-1.49131064834791,0.128549500263188,"X280_2019",3
"5754",-1.49131064834791,0.128549500263188,"X280_2019",4
"5774",-1.29130365969649,0.128549500263188,"X280_2019",5
"5794",-1.29130365969649,0.128549500263188,"X280_2019",6
"5817",-1.29130365969649,0.128549500263188,"X280_2019",7
"5831",-1.29130365969649,0.128549500263188,"X280_2019",8
"5851",-1.29130365969649,0.128549500263188,"X280_2019",9
"5871",-1.29130365969649,0.128549500263188,"X280_2019",10
"5891",-1.29130365969649,0.128549500263188,"X280_2019",11
"5911",-1.29130365969649,0.128549500263188,"X280_2019",12
"5932",-1.29130365969649,0.128549500263188,"X280_2019",13
"5951",-1.29130365969649,0.128549500263188,"X280_2019",14
"5971",-1.29130365969649,0.128549500263188,"X280_2019",15
"5991",-1.29130365969649,0.128549500263188,"X280_2019",16
"6017",-1.29130365969649,0.128549500263188,"X280_2019",17
"6032",-1.29130365969649,0.128549500263188,"X280_2019",18
"6052",-1.29130365969649,0.128549500263188,"X280_2019",19
"6072",-1.29130365969649,0.128549500263188,"X280_2019",20
"6092",-1.29130365969649,0.128549500263188,"X280_2019",21
"6113",-1.29130365969649,0.128549500263188,"X280_2019",22
"6124",-1.29130365969649,0.128549500263188,"X280_2019",23
"6144",-1.29130365969649,0.128549500263188,"X280_2019",0
"6164",-1.29130365969649,0.128549500263188,"X280_2019",1
"6183",-1.29130365969649,0.128549500263188,"X280_2019",2
"6203",-1.29130365969649,0.128549500263188,"X280_2019",3
"6224",-1.29130365969649,0.128549500263188,"X280_2019",4
"6244",-1.37619737953714,0.128549500263188,"X280_2019",5
"6263",-1.37619737953714,0.128549500263188,"X280_2019",6
"6282",-1.37619737953714,0.128549500263188,"X280_2019",7
"6302",-1.37619737953714,0.128549500263188,"X280_2019",8
"6321",-1.37619737953714,0.128549500263188,"X280_2019",9
"6341",-1.37619737953714,0.128549500263188,"X280_2019",10
"6361",-1.37619737953714,0.128549500263188,"X280_2019",11
"6382",-1.37619737953714,0.128549500263188,"X280_2019",12
"6401",-1.37619737953714,0.128549500263188,"X280_2019",13
"6421",-1.37619737953714,0.128549500263188,"X280_2019",14
"6441",-1.37619737953714,0.128549500263188,"X280_2019",15
"6462",-1.37619737953714,0.128549500263188,"X280_2019",16
"6481",-1.37619737953714,0.128549500263188,"X280_2019",17
"6501",-1.37619737953714,0.128549500263188,"X280_2019",18
"6521",-1.37619737953714,0.128549500263188,"X280_2019",19
"6541",-1.37619737953714,0.128549500263188,"X280_2019",20
"6561",-1.37619737953714,0.128549500263188,"X280_2019",21
"6582",-1.37619737953714,0.128549500263188,"X280_2019",22
"6594",-1.37619737953714,0.128549500263188,"X280_2019",23
"6618",-1.37619737953714,0.128549500263188,"X280_2019",0
"6634",-1.37619737953714,0.128549500263188,"X280_2019",1
"6654",-1.37619737953714,0.128549500263188,"X280_2019",2
"6674",-1.37619737953714,0.128549500263188,"X280_2019",3
"6694",-1.37619737953714,0.128549500263188,"X280_2019",4
"6715",-1.31475529254979,0.128549500263188,"X280_2019",5
"6733",-1.31475529254979,0.128549500263188,"X280_2019",6
"6752",-1.31475529254979,0.128549500263188,"X280_2019",7
"6772",-1.31475529254979,0.128549500263188,"X280_2019",8
"6792",-1.31475529254979,0.128549500263188,"X280_2019",9
"6815",-1.31475529254979,0.128549500263188,"X280_2019",10
"6833",-1.31475529254979,0.128549500263188,"X280_2019",11
"6852",-1.31475529254979,0.128549500263188,"X280_2019",12
"6872",-1.31475529254979,0.128549500263188,"X280_2019",13
"6892",-1.31475529254979,0.128549500263188,"X280_2019",14
"6915",-1.31475529254979,0.128549500263188,"X280_2019",15
"6932",-1.31475529254979,0.128549500263188,"X280_2019",16
"6952",-1.31475529254979,0.128549500263188,"X280_2019",17
"6972",-1.31475529254979,0.128549500263188,"X280_2019",18
"6992",-1.31475529254979,0.128549500263188,"X280_2019",19
"7015",-1.31475529254979,0.128549500263188,"X280_2019",20
"7032",-1.31475529254979,0.128549500263188,"X280_2019",21
"7053",-1.31475529254979,0.128549500263188,"X280_2019",22
"7064",-1.31475529254979,0.128549500263188,"X280_2019",23
"7083",-1.31475529254979,0.128549500263188,"X280_2019",0
"71010",-1.31475529254979,0.128549500263188,"X280_2019",1
"7123",-1.31475529254979,0.128549500263188,"X280_2019",2
"7143",-1.31475529254979,0.128549500263188,"X280_2019",3
