"est.roost","est.loafing","est.foraging","se.roost","se.loafing","se.foraging","lower.roost","lower.loafing","lower.foraging","upper.roost","upper.loafing","upper.foraging"
"ID:X1626_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X251_2019",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X280_2018",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X280_2019",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X286_2018",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X286_2019",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X355_2018",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X361_2018",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X375_2019",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X387_2019",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X398_2019",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X409_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X410_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X412_2019",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X420_2019",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X426_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X434_2019",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X436_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X826_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X840_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X849_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
