STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/17/2018,3.8,,,,0.37,,5.4,1.2,22,27,20,,340,10,,,8.9,10.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/18/2018,4.47,,,,0.02,,0.5,5.9,22,29,2,,310,310,,,12.1,16.1,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/19/2018,2.91,,,,0,,0,5.9,22,30,6,,170,290,,,8.1,10.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/20/2018,9.17,,,,0,,0,5.9,33,44,27,,310,340,,,19.9,29.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/21/2018,5.59,,,,0,,0,3.9,35,40,25,,310,280,,,16.1,23.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/22/2018,7.38,,,,0.1,,0.8,3.1,22,29,17,,10,40,,,15,17,1,,,1,,,1,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/23/2018,6.71,,,,1.2,,1.3,5.1,27,47,19,,180,190,,,21,28,1,1,,,,1,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/24/2018,9.84,,,,0.01,,0,2,32,37,16,,300,280,,,29.1,36.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/25/2018,12.3,,,,0,,0,2,14,17,7,,320,320,,,23.9,30,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/26/2018,7.38,,,,0,,0,2,13,25,8,,320,310,,,17,25.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/27/2018,5.82,,,,0.01,,0,2,22,41,7,,200,210,,,21,25.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/28/2018,6.71,,,,0,,0,1.2,42,47,30,,340,200,,,15,17,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/29/2018,11.41,,,,0,,0,0,25,30,17,,20,20,,,19.9,23.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/30/2018,16.78,,,,0.13,,1.6,0,17,18,13,,360,320,,,25.1,32,1,,,,,,1,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/31/2018,8.95,,,,0,,0,2,15,23,8,,320,320,,,23.9,32,,,,,,,1,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/1/2018,5.59,,,,0.07,,0.7,3.1,27,34,21,,200,190,,,13,18.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/2/2018,12.75,,,,0.22,,1.9,3.9,23,33,2,,320,320,,,29.1,36,1,,,,,1,1,1
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/3/2018,5.82,,,,0,,0,5.1,4,13,-4,,210,250,,,13,18.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/4/2018,9.84,,,,0.51,,0.2,5.1,23,42,4,,170,180,,,23,36,1,,,,,,1,1
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/5/2018,9.17,,,,0.41,,0,1.2,37,42,14,,310,310,,,25.9,34,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/6/2018,4.7,,,,0,,0,1.2,18,29,11,,180,180,,,15,19,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",2/7/2018,6.04,,,,0.52,,6.6,7.1,16,24,7,,30,300,,,23,28,1,1,,1,,,,
