Roost ~ Basal Area + Wind Chill + BA*WC + BA|IND
"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"BA.Z",1.21936150836527,0.121316584288954,0.980661847584174,1.21910008968881,1.45926302265165,1.21856817741485,3.04210841290658e-05
"WC_prev",-2.10035610539426,1.47274965773026,-4.9920611247403,-2.10031681271865,0.788402831008858,-2.10011219861524,3.825292006442e-07
"StepLength.Z",0.109052601101861,0.0328986607722137,0.0435837614581961,0.109354193784438,0.172787440098925,0.109954751789896,2.94773510190491e-07
"BA.Z:WC_prev",-0.00876066237187849,0.00380060321356708,-0.016266307121889,-0.00874597383776007,-0.00134368291525944,-0.00871643376220858,4.66606678436497e-07
"","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"Precision for ID",6.51812810575709,2.88076878055476,2.59509461713153,5.95748560825784,13.7457489948121,5.00768825636656
Posterior Mean of Variance: 
0.1833963
Posterior Mode of Variance: 
0.1412446

$StratID
$StratID$index.1
                x            y
[25,]   17.4306042 1.307276e-02
[26,]   19.2949629 1.362058e-02
[27,]   21.1202072 1.410597e-02
[28,]   22.8495003 1.451312e-02
[29,]   24.5630150 1.486065e-02
[30,]   26.2235617 1.514009e-02
[31,]   27.8689217 1.535785e-02
[32,]   29.4872203 1.551204e-02
[33,]   30.1345398 1.555662e-02
[34,]   30.7776083 1.559109e-02
[35,]   31.0977345 1.560458e-02
[36,]   31.4178606 1.561563e-02
[37,]   32.0581128 1.563036e-02
[38,]   32.6983650 1.563526e-02
[39,]   33.3386173 1.563031e-02
[40,]   33.9807085 1.561548e-02
[41,]   34.3020585 1.560435e-02
[42,]   34.6234084 1.559075e-02
[43,]   35.2661082 1.555619e-02
[44,]   35.9088081 1.551187e-02
[45,]   37.5326959 1.535696e-02
[46,]   39.1696246 1.514018e-02
[47,]   40.8438514 1.485824e-02
[48,]   42.5363784 1.451491e-02
[49,]   44.2987770 1.409974e-02
[50,]   46.0850001 1.362460e-02
[51,]   47.9765560 1.306888e-02
[52,]   49.9363563 1.244467e-02
[53,]   51.9809008 1.175112e-02
[54,]   54.2093102 1.095872e-02
[55,]   56.5900908 1.008576e-02
[56,]   59.1841372 9.122720e-03
[57,]   62.0877441 8.054086e-03
[58,]   65.4497629 6.860281e-03
[59,]   69.4978190 5.526480e-03
[60,]   74.7327408 4.025540e-03
[61,]   82.7584737 2.282173e-03
[62,]   92.1137018 1.039531e-03
[63,]   98.4678044 5.644282e-04
[64,]  109.2644862 1.734690e-04
[65,]  111.6319272 1.307620e-04
[66,]  116.7711333 6.873563e-05
[67,]  127.7610122 1.516517e-05
[68,]  134.7788213 5.243509e-06
[69,]  141.6650377 1.718478e-06
[70,]  154.1402333 1.892282e-07
[71,]  160.2931564 5.837521e-08
[72,]  165.6377813 2.004932e-08
[73,]  185.8074915 2.394193e-10
[74,]  236.8361618 2.015879e-16
[75,]  287.8648320 3.125115e-24

$StratID$index.4
                 x            y
 [1,] -115.3055197 1.014111e-23
 [2,]  -95.9275310 5.952802e-16
 [3,]  -76.5495424 6.601218e-10
 [4,]  -68.8654289 5.507027e-08
 [5,]  -66.8605481 1.576482e-07
 [6,]  -64.6022443 4.899122e-07
 [7,]  -59.8461299 4.473520e-06
 [8,]  -57.1715538 1.396912e-05
 [9,]  -54.5114704 4.021692e-05
[10,]  -50.3669855 1.799256e-04
[11,]  -48.4205008 3.415269e-04
[12,]  -47.4825595 4.584782e-04
[13,]  -43.4245947 1.472260e-03
[14,]  -40.9978107 2.721131e-03
[15,]  -37.4366005 5.985308e-03
[16,]  -34.3683372 1.059617e-02
[17,]  -32.3634332 1.458090e-02
[18,]  -30.8398456 1.806072e-02
[19,]  -29.5691055 2.118682e-02
[20,]  -28.4606901 2.401338e-02
[21,]  -27.4647025 2.657576e-02
[22,]  -26.5669702 2.885683e-02
[23,]  -25.7364454 3.090436e-02
[24,]  -24.9463797 3.276296e-02
[25,]  -24.2004609 3.440986e-02
[26,]  -23.4928069 3.585202e-02
[27,]  -22.7998103 3.713063e-02
[28,]  -22.1422985 3.820497e-02
[29,]  -21.4917479 3.912098e-02
[30,]  -20.8605903 3.985869e-02
[31,]  -20.2358738 4.043338e-02
[32,]  -19.6209906 4.084108e-02
[33,]  -19.3750373 4.095912e-02
[34,]  -19.1310107 4.105043e-02
[35,]  -19.0094203 4.108628e-02
[36,]  -18.8878299 4.111569e-02
[37,]  -18.6446492 4.115512e-02
[38,]  -18.4014684 4.116866e-02
[39,]  -18.1582876 4.115628e-02
[40,]  -17.9143955 4.111784e-02
[41,]  -17.7923846 4.108886e-02
[42,]  -17.6703736 4.105339e-02
[43,]  -17.4263517 4.096305e-02
[44,]  -17.1823298 4.084699e-02
[45,]  -16.5654759 4.044055e-02
